"tokens_lem","class"
"scare everything just seem get bad bad young think even sure can tell just lie actually trans feel overwhelm thought emotion can just take anymore just wish less know sure trans even worry religious family accept can actually anything alleviate pain bite cut first time yesterday barely even draw blood can even fuck hurt correctly don think ever able anything correctly want pursue music know money find field unless become famous happen currently seriously debate suicide thought keep come back just keep get bad sure can really take much long just wish bear girl want cry","suicide"
"good screw lock school toilet can get now edit now live tell story","non-suicide"
"fuck assignment due tomorrow even start yet","non-suicide"
"knife wrist give hesitation like use free free finally die hate see people fun just depress sister go every night friend nice see get depression time hurt really bad nothing now make realize","suicide"
"end life today goodbye everyone almost disability arthritis sick live tire single reject make feel kind monster tire anyone connect connect companionship tire alone single world weight loneliness take much swallow inside consume see nothing darkness everywhere look see nothing hate towards everywhere look absolutely one life loneliness remind every day do world end life today goodbye everyone time anyone read dead","suicide"
"know really toxic house good cope go school rona stay home forcefully","non-suicide"
"trap inside whoever care enough read though doubt fall criterion trap inside void absolutely nothing monotonous task every day life nothing look forward aspiration whatsoever save grace feel like thing make feel like want accept maren absolutely idiotic sound assure talk one thing look forward every day one thing keep go know time throughout day able talk even briefly go sleep make feel accept make feel like kind worth make feel like actually like okay make feel love never ever able open someone completely feel completely ease talk tell thing one else world know make feel like actually care care share many intimate moment never dare anyone else talk get together devise crazy scenario together talk time nothing keep apart except help problem face relate depression break starr talk whenever need always make feel good shine star pitch black sky none long though slowly drift apart begin realise exactly sure regret get involve don blame nothing hurt day none intentional happen nonetheless first start talk tell clingy tendency say okay suppose think exaggerate need interaction life know fair people around know want alone thought time thought extremely self destructive need someone spend time someone talk get away thought four month legitimately happy probably time life ever actually legitimately happy finally starr thank help maren stress thing actually look even migraine become far love feel love back time play four month without hesitation good time life people ridicule various reason beyond control feel like hold feeling inside share maren incredibly receptive lie leave detail maren make feel like good person tell past seem genuinely concern try hard dispel hateful thing tell tell attractive something never tell even starr together ten year happy time prior never willingly take picture send picture make feel like hideous person think hindsight sure just nice actually think attractive still nice hear though miss day long return know never happen thing happen many people though none extreme fine first start talk eventually realise high maintenance fuck cause drift away eventually stop talk altogether sometimes just abruptly cut life case starr night break tell love morning tell week late tell never talk ten year together end whim cause lose also good friend thing happen maren drive away eventually good friend completely alone last time completely alone right starr break leave room two week eat single thing two week lay bed stare ceil darkness constantly tear try realise go wrong never cry much life hide emotion outside view life moment contain long absolutely nothing leave world feel right now complete luck actually able reconnect maren idea make friend just happen feel absolute low send message expectation whatsoever prepare either completely ignore tell away happen though wonderful conversation reminisce childhood don remember subject get change talk starr tell everything seem like genuinely care stay morning just talk tear conversation partly still upset breakup also believe someone actually care especially someone talk decade start get close reveal feeling one another joke reconnect red string fate don believe fate also don think just dumb luck cause reconnect moment feel like nothing leave problem lie fact never able replicate anyone else incredibly socially awkward make new friend person just completely freeze get overwhelm anxiety just nothing say bore person try make new friend various like talk people seem nice none develop actual friendship stop talk one session don anything give friendship fight maren tell can keep badger hang ask go able talk do watch game throne new self worth absolutely rock bottom make realise problem fault relationship always dissolve join blame starr dissolution relationship see now never fault just completely unlovable can never one true friend believe stem fact grow friend try expand make new friend get burn badly every time latch one friend suffocate bother stand leave try hard give space ask hang talk whenever try get extremely depress spend past two week extreme depression hope weekend able hang alleviate cancel plan favour hang someone else every time ask something say get sink feel mainly four month happy everything together time ask want something happy hang happy talk nearly every moment awake suppose long someone get bore little offer mainly drive everything must exhaust get tire write though recognize fault flaw knowledge motivation fix live entire life single person stay around write now zero friend completely alone one world even notice fall face earth fade oblivion goodbye steven","suicide"
"post open monologue every day get day speak partly elvish world change han feel water han ned feel earth han ned smell air much lose none now live remember begin forge great ring three give elf immortal wise fair being seven dwarf lord great miner craftsman mountain hall nine nine ring gift race man else desire power within ring bind strength govern race deceive another ring make deep land fire mount doom dark lord forge master ring ring pour cruelty malice dominate life one ring rule one one free land middle earth fall power ring resist last alliance man elf march army slope mount doom fight freedom middle earth victory near power ring undo moment hope fade son king take father sword enemy free people middle earth defeat ring pass one chance destroy evil forever heart man easily corrupt ring power betray death thing forget lose history become legend legend become myth two half thousand year ring pass knowledge chance come ensnare another bearer come creature take deep tunnel misty mountain consume ring give unnatural long life five hundred year poison mind gloom cave wait darkness creep back forest world rumor grow shadow east whisper nameless fear ring power perceive time come abandon something happen ring intend pick unlikely creature imaginable bilbo shire time soon come shape fortune","non-suicide"
"sleep sock feel sleep sock try first time heavy long sock feel really nice wake benefit accord prevent hot flash woman find wear sock helpful cool core body temperature improve crack heel wear cotton sock can help keep heel dry increase potential orgasm accord news health researcher accidentally discover wear sock increase participant ability achieve orgasm percent decrease chance attack disease affect area skin usually toe finger lose circulation start throb swell wear sock night can help prevent attack keep foot warm blood circulate","non-suicide"
"graveyard find eery think many dead user often ill see kill tonight post active never post","suicide"
"guy want friend alone don talk anyone anything just tire talk dad sister literally dad sister like animate series flexible anything last series watch clarita diet last animate series watch hollow watch time extend music repertoire can draw anything ask less try can text hour day pretty much weird family anecdote story can tell interest anything mention matter just friend","non-suicide"
"think today may last everything become overwhelm late enough night think enough finally end miserable life mine plan work certain friend call know able actually move know want anymore dying fix everything like pain chest everything else dying fix everything stop nuisance past people care can waste anyone time dead amp think time right","suicide"
"normally cringe self loathe post honestly trash like literally everything just wish muster courage just follow okay everyday bad last appreciate community let know alone","suicide"
"nice song nice song wall come true dream weak around need dream slow please listen","non-suicide"
"good way look talk effective easy way","suicide"
"man hope someone find drink fuck find lymphoma want suffer shit take life tomorrow guy think point knife heart fall downwards do easy hope go man hope girl move sweet love fall sleep arm next hope think coward hope hate instead feel sad man hope brother affect good soul fuck man ramble sorry go tomorrow bullshit post like","suicide"
"today fact award expensive","non-suicide"
"feel like use school state university drop financial issue year since move anywhere life one job hour week make enough money like food soap toothpaste try find another job can find one feel like go stick hole forever part just want everything apply job day make sure call back get explanation need also able afford haircut month self conscious hair never get long feel gross spend month bank account clue pay rend sorry ramble can stop think kill really want help","suicide"
"worth trouble work anxiety really worth live","suicide"
"triple nipple dock dare ask crush take tell love","non-suicide"
"lonely year old guy feel like loser future feel alone insecure fat pound guy really small inch penis experience girl cause feel ugly think laugh size one real friend barely family leave still care top college idea kind career pursue leave work shit minimum wage job hate live life paycheck paycheck just feel like say fuck give life good feel like big fuck loser world year old successful just sad","suicide"
"hurt another person ungrateful alive feel mess vent someone chat tell plan kill sometime week tell lung cancer chance live want live call ungrateful fuck shit want kill feel happy anything anymore want life hurt badly apologize like time know can just apologize send video call thing literally cry eye hate hurt badly still want die even now cut first time ever today just feel little good can forgive now still plan kill guess tell never talk","suicide"
"revenge think ever cross mind ever alone isolate feel like reach yet one hear take seriously ever feel like everyone life give feel like jump roof right now way anyone ever notice care much pain feel care dead people finally hear understand serious understand much pain right now wish try hard listen every time speak hurt end life past twelve month may dead may never see finally care finally notice pain okay ill dead pain anything really really okay coward fuck coward sit roof slowly dose medication hope wit long enough take enough coherent enough feel fear regret 2 thought ill dead near jump finally feel happy","suicide"
"hey gonna sleep sock gonna put good luck gonna sleep warm foot","non-suicide"
"learn new skill today learn change light bulb thing happen cock first time go minute tighten bite now work room quite long time finally bulb light","non-suicide"
"nothing live life bleak don genuine friend feel like strange family scare person truly care future goal look forward life fall apart just let happen exhaust just don know want alive anymore","suicide"
"think get past thought may sound weird dad pass away quite suddenly two month ago get talk die still hurt quite suicidal prior dad pass month thought hardly enter mind now seem thing occupy mind try deal depression therapy think really work come forefront since quit job start business two friend everyday feel like make huge mistake go lose everything business putter along take enough pay wage every month juggle figure hope enough money credit pay bill hate boss wish never quit job sure deal crap manager give end day can home switch unlike now day day worry lose home really wish back time undo decision one present button say kill sleep push thankful","suicide"
"one use function sad edit never use function","non-suicide"
"close book try everything one know say really say people can say get good try guilt trip get much one can say situation people help people don understand deep go guess can blame deserve feel way scare think make mind need do don think go post anywhere anymore whatever happen happen less know try","suicide"
"math class always make horny always just zone think partner one like damn spoil much like ooh damn hot gotta get sorry guy","non-suicide"
"become accustom fact go kill people struggle suicide register think much just see another person like also make feel like everyone like go kill people around nobody care","suicide"
"school suck try prevent generate waste seem impossible even bring reusable mask school give mandatory disposable mask can give away can anything sibling go school good basic math say get disposable mask week hate","non-suicide"
"die brother financially responsible council flat like die cost money council clean council dispose body stick pay","suicide"
"wonder guy go celebrate valentine day go celebrate lucina","non-suicide"
"year ago little supportive last time little belated thank kindness deal unbelievable degree stress long time now repeat experience way good hope anything whatsoever reason decide detail post instead go put link every breath serve reference insane event life choose entry happen year back little rant normal guy pour heavy read intense worry like think marker existence please reject post please force share information please take reply back may comment conserve energy sincere good will know advance appreciate kind gesture may good die circumstance miserable alone hey right now bad mood like wish good cheer happiness","suicide"
"can stop feel like therapist believe actually feel like think fake even full trial session feel disconnect fuck mean find therapist ant just can nothing expel fuck thought want die go clear overdraft end year buy mask nitrogen fuck end go entire life one believe fuck depress support family doctor just fake just fuck","suicide"
"put opinion just say controversial opinion want share don make fun other opinion don agree just ignore","non-suicide"
"cut dick scissor help","non-suicide"
"since aunt suicide week christmas drink take painkiller can stop think kill see much hurt even twice age hang break hundred heart absolutely afraid death come people love come family function alcoholic can stop drink drink lot self harm rape never tell anyone year now almost","suicide"
"excite tomorrow go house get school work do go try play enter friend can wait see reaction bullet hell","non-suicide"
"guy gaming good game play","non-suicide"
"need know good shop pistol right now tonight rough clue gun whatsoever depress year now grow weary basically hope someone can point right direction good pistol can end without just maim idea money object point help appreciate brian","suicide"
"past unforgiving","suicide"
"suicidal think truly depress suicidal even make sense drink fail community college good friend want burden info know look life hate intelligent never apply hardcore want talk someone guess though know become apathetic think suicide every day suicide stress maybe ill get super drink jump high place thank","suicide"
"look comment randomly click account subscribe video","non-suicide"
"breakup family guilt person think absolutely perfect just break yesterday come absolutely blue say reason know problem reason never bring know advice generally get back plenty fish sea fuck ugly antisocial feel like really one chance happy relationship become pretty time together since basically thing life make depression abate period time amp feel like putting gun head right now pull trigger family member sad anyone else feel way want badly just do imagine sibling parent reaction just know never able","suicide"
"know homeless go night know friend family strand walk city look people just go lose just want pain end know smart know anymore feel lose physically mentally feel detach everyone feel like last day planet time just go slow night come afraid close eye even worth try get back","suicide"
"relatable mom get rape whistle pepper spray pocket knife someone follow truck run day ago cause random person house like hour truck front house leave make free afraid family especially mom just hope guy can send bless family","non-suicide"
"anarchist don listen full story blame police job load shit","non-suicide"
"single year finally find one perfect charm good find also super adorable kylie know gonna see want know love","non-suicide"
"crush quarantine never last year first year actually try make attempt date fuck quarantine now right now feel like shit don crush may sound pathetic even though quarantine good idea start relationship quarantine probably still nice someone think lot night just feel hollow necessarily feel absence one don know may sound stupid right now just need get stuff","non-suicide"
"love live world like book read little relevance people like get relatively quickly without response go die imagine world somehow special actually alone long little reason approach anyone fault god people general bore spew hipsters judgement can fun just empty form stimulation want tire try day fun emptiness","suicide"
"exam come exam come important can say nationwide competition grade good just start study month leave rant post complaint just want tell someone really scare now","non-suicide"
"feel bad want get chest order donut website figure tip delivery rider website think just tip cash stuff hear knock follow thank engine noise fuck brother go get food know tip thing even bother tell food feel bad driver get tip completely deserve tip always tip waiter waitress pub restaurant just figure website brother answer instead rider get tip honestly feel bad even though feel like fault thank let get chest feel good","non-suicide"
"plan overdose figure kill different manner world overdose look good pill ready extra medication month now two month everything take enough now must follow goodbye everyone","suicide"
"anyone plan suicide long term future depress consider suicide soon within maybe year want kill kind long story main reason combination lack economic stability health problem family along lack purpose inherent value life economic grow hard overcome lot adversity low income household mother dying young age queer person color strict parent depression like lot people college currently find although genuinely love learn pick stem major college just seem oppressive know make sound like entitle first world parent make flagship state school directly high school allow choose different school even year relatively good grade high school know moment campus hate lack diversity friendship health negative impact good sense direction idea major career never feel inspire think transfer resource finance first generation college student stick though depress good academically since major department apply math worry get good pay job unlike engineer student like know early just major instead leave college next year loan family generally strongly dislike family life sibling go medical school basically leave house fast mom die young age instead help possible school become self sufficient dad remarry spend money new wife unemployed kid even though pretty old focus retirement come queer yet worry family disown super super conservative strict family orient parent also immigrant ton wealthy family health lot chronic probably genetically cause health disease since young young mid teen able take care parent employ supportive mom die dad bother help much without resource see specialist anymore health decrease hard college car always health insurance able see anyone health continue decrease life threaten health issue part make feel insecure self conscious find hard justify continue life kind nihilist definitely atheist absolutely belief afterlife want kill yet year can distant family meticulous suicide plan real world see many psychologist year rarely find helpful knowledgeable condescend even seem statistically unlikely queer woman color first generation college student background limit family support chronic health issue student loan economically secure like even year hard see straight white male friend accept upper middle class family succeed life constant struggle even can push somehow find way misery point suffer struggle much life really see reason basically create post see anyone else agree truly plan suicide future also fine talk people choice expand reason though doubt people can change mind want wait year commit suicide basically personally see life worth live economically secure supportive family friend generally healthy however multitude complex reason factor really possible likely also nihilist atheist see point life society stigmatize suicide think everybody bear continue live","suicide"
"fuck finally confidence meet someone real life really excite see real life friend just walk around city shop bite day ago mum force activity absolutely hate parent always force stuff really good turn free time activity go absolutely hate talk one just stay away everybody someone maybe now can city miss first two day school give plan school year start great now cry past two hour really good mood really look forward get school life together build confidence now feel even bad fuck hate","non-suicide"
"course script character commit suicide part deal depression little low lately matter long past day every moment feel like breathe underwater hurt little write outline script year half ago bad throw depression nearly hospitalize now class come basic course finish script like script grow change certainly broad scope depression haunt today write little part character consider commit suicide like see action another character voice depression every line write idea head like write thought past easy write mean zoom past fast never watch script come life traumatic let people see especially people know like know now much good feel like see cut stop commit suicide look edge build sad hesitate confuse really want another complexity feel like become expert suicide hospitalization therapy group therapy anti depressant depression within class many script get right never straightforward write even now straightforward part small want kill large part want even mean fall back depression even large part ready cut moment notice just stop pain now talk script class like open much wind see much bother think much know right someone class clear character accident attempt sound like suicide attempt good guess tell realistic way get hospital day even accident someone ask intent life keep get complex far depression depression get much close stable though know long though entirely relate just want show people know like consider suicide know bite ambiguity treatment reaction follow","suicide"
"review dildo say weak suction cup yet can lift whole desk","non-suicide"
"can someone talk stare blank post minute know say can stop cry say know even want happy much ask just want able get one day even know post afraid talk friend go sigh pathetic sorry","suicide"
"point live year old male hinder everything life close putting stop","suicide"
"brain damage drug feel human pretty much can say brain full shit fuck loud can never peace write wall text delete","suicide"
"feel guess attempt lifeline something okay guess good way begin just tell straight gay issue strictly conservative parent know lot people bad feel like problem stem haven diagnose anything really don really care take fuck expert opinion tell something genuinely fuck wrong lately feel suicidal plan suicide enact little effort whatsoever right time post fact cut first time shallow cut bad part try get bleed stop even now feel like absolute shit consistently month now yes definitely something wrong detail cut look back snap start cut go deep anything try cut force pressure glad knife nearby anything else think may bleed scare snap start cut fast go cut fuck go hide cut someone ask excuse possibly come time type yesterday work miserable contemplate walk climb tree tie hoodie sleeve tree next just let fall obviously even walk probably feel like just spread suffer family family state previously adamant religious bunch tolerance gay heresy mental illness act something around think facade take toll mind feel like actual personality just fake around people make happy time honest hard sometimes feel sense selfness never ever even give hint ever gay try make seem like gay even comprehensible subject something outlandish exist however recently tell mother feel anxious everything stress tiny thing feel like absolute shit consider suicide just yell tell lazy even amount anything give willpower hurt word expectation shatter just want someone understand love genuinely acknowledge something wrong need help just make fuck sad never go happen don even tell sort stuff one friend just ruin atmosphere bring mood can just feel like genuinely nobody feel isolate alone know much bad try rationalize situation consideration fact can help feel fuck bad scare go kill soon just want thing stop shit feel like almost year past month genuinely feel way daily recently suicide mind just want pain end just want alone want someone hug tell valid","suicide"
"just want people know happen life since can really tell someone without freak something really don want stuff go happen soon result loose family school long term really scare coward honestly rather dead try fix mess mess putting lightly though life large puzzle like just throw entire thing fire shame think just cut artery stomach figure something hear take bleed don hit artery people usually discover save fortunately live alone dorm room one ever visit lot time write note class address look back place don feel like fix hear slit arm can cause permanent damage fuck get medical stuff just case wake decide try right guess write make sure people know don history depression haven really show obvious reason something think ever kill feel certain sense control calmness actually look forward time make decision decide let guy know","suicide"
"day post get exam exist","non-suicide"
"know much long can carry stick slump past week feel motivate anything constantly frown piss everything multiple frequent instance appel vide call void just fill horrid sense dread unease everything wake every morning curse dying sleep night just want stop","suicide"
"just happy get money back still lose close hey hope next seller find turn con artist","non-suicide"
"matter many time get good just end bottom hole ready lie now try kill twice lead year journey therapy mental health treatment get good always fall ditch wonder just fuck already right time think mom live rest life dead mourn choice thing sober suicidal ideation today particularly rocky day though feel like grip stay weaken start ugly thought tonight like jealous victim helicopter crash wish infect way actually embarrass admit time feel passionately desire scare first time think maybe year start research suicide method dad take artificial heart valve figure steal medicine cut bathtub can bleed die peacefully grow urge hurt permanently hard part leave note family letter maybe don know even need say besides sorry still terrify excite just crave life often get restless matter happen life always end place keep fight wonder battle actually definitely fight anymore officially give just wait dad come home trip can see one last time","suicide"
"uncle migrate now think fake fuck do america","non-suicide"
"website info can file book anyone copy","suicide"
"want anyone find just can someone see confirm death","suicide"
"good resource mental health help somebody without lot money deal death father year come go good can actually deal past month especially hard reason little money leave immediate family one friend see week fiancee love also great deal mental emotional stress around make good talk master level therapist year never help talk therapy fix anything maybe bachelor degree psychology never help anything day think bad thing probably few one make sad sometimes feel like can anymore disappoint get lot go paper get accept back college 2 bachelor degree recently day struggle just wake job feel like just want away let world without realize dangerous kind think need nip bud get good drink lot past year try quit week able numb degree lead many night sleep good get lose thought bad place quickly many hobby passion passion passion bad day need something fix want constant cloud anymore idea feel like level cope mechanism overwhelm pervasive depression skew direction latter thank listen anyway help type edit clarify talk real actual mental health help perhaps medication read self help book go run meditate do thing regularly try fill life much positive kind stuff possibly can work read everything entire canon marcus steven hawk chi master beyond respectfully please understand tell just jog go help work daily meticulous try eat healthy drink like fish anymore need real help know","suicide"
"think need check hospital need guy advice week ago get diagnose major depressive disorder really news know depress year approach year now get prescribe now also attend therapy session psychologist week now work though anything last month just get bad bad feel like even get bad slow rate last year make lot change try help go start eat healthy change major something enjoy career prospect transfer college since first one work join club actually make friend even attend first college party year never invite anything now finally go get professional help psychiatric none help anything get bad since even hope change help hope go kid use get pneumonia lot like time wish just die back save much pain parent move now ton people drag late think happy thing get relationship think think late thing since one change yet make pretty genuinely hate pretty much derive self worth last year gpa really believe inherent self worth almost now ever date let alone receive platonic hug nobody ever express interest always initiate think find usually case friend good initiate never get invite anything can even watch porn anymore without feel like shit like can avoid people relationship either isolate since still class feel like change make year amount nothing just terribly lonely miserable time able cry year just self harm feel like cry good release feel like diminish return since lately give rush use just make little easy breath make sense besides beat drink heavily like normal people age though much prefer drink drink friend build life resume career feel like get leave behind road life everyone date already marry people love get pms one friend high school ask start date yet keep try explain try luck whenever date come ever get sure find someone eventually thing none may happy thing obviously fail change leave can make since professional medical help fail enjoy anything anymore feel like chore frustrate now already play enjoy point mechanical play enjoy run hike much now cold anyways time year show really enjoy always want learn draw actually huge fan furry art pretty bad perfectionist practice frustrate pretty much can get good suicide increasingly look like way thing go get good logic mean get good zero still large negative numb good use think wait turn kill thing improve however thing deteriorate move recently move graduation think graduation present even know go make far suicide feel inevitable point like something buy whole get good thing anymore year really experience medical advice give suicidal thought get really bad distract understand end though like kill now get continue hurt tomorrow end seem lead kill now can just keep hurt tomorrow see appeal think nice seclude part one local national park like shoot head really late night nobody notice go possibly week nobody hear thing may even find body can fee scavenger hurt anymore people love see hurt anymore everyone win dead inside year just take rest catch course still likely year away probably immediate risk kill stand right now can sleep anymore go bed last night energy feel suicidal just give headache make hungry give constipation nothing help think can get good anymore another therapy session psychologist late afternoon know anymore tell point","suicide"
"want even find way difficult plan come far work want stay alive disable want work live hard find way end life without cause much pain want leave kerosene heater bathroom keep door window close allow harmful gas build overdose short act long act insulin take maybe antiemetic vomit drug stay bathroom till lose consciousness pharmacy student place live social skill lack thereof allow get hand way dying peacefully talk want know many know feel just want fail face family live permanent brain damage please message comment allow hope rule","suicide"
"can anymore recently suffer psychotic episode first one yet hurt person care life lose mean see way thing get good future can shake feel simply take probably project putting blame fuck coward can take responsibility action probably deserve cause shit human can change much coward kill probably start starve soon sorry bad english 2 language","suicide"
"much time people spend feel feel alone last year lot answer resolution tend lead towards end life just curious much time normal people think stuff","suicide"
"star war question star war fan consider sequel canon last one promise","non-suicide"
"badly want talk whenever anyone offer talk know say never able talk deeply anyone depression thought suicide even therapist","suicide"
"shop awful finally allow place tree forest picnic month say shop terrible walk large bouncer look type man every entrance stare walk make uncomfortable begin shop employee follow around keep eye also uncomfortable can actually touch beauty product like perfume shop can touch try anything experience every shop combine able breathe mask pleasant experience don think want back shop ever uncomfortable go think corona completely go wipe type business store future completely social distance scary anyways don think anyone care enough read today think future look like","non-suicide"
"day post something get mildly infuriate lag phone work get full fuck bar stop shit","non-suicide"
"lot stuff handle sorry long hope enjoy meet girl pandemic school just know look school slide friend try make friend really big crush talk talk maybe talk couple month now couple day ago play friend send message say let date really shock know send buy time think tell okay let date first time go date ask old friend give tip stuff just tell act someone else couple day late date weird walk around girl boy anyways eat never sit talk just like normal date start walk around really brave think gotta brave less tell really big crush really like stop walk heart just drop say really like kiss also first kiss now relationship never brave get ask date first kiss","non-suicide"
"go wait version senorita sing margarita instead senorita go love call margarita","non-suicide"
"know just realize can opinion english class especially teacher woman like get mad even though ask opinion","non-suicide"
"old ever old ever mean don remember first dream probably happen young even able remember always fragment real real way end eye open lie bed wonder just wake just fall asleep fragment don seem follow just clip like hazy recollection night remember moment long series event dream see event life tragic wonderful play sometimes month year experience chronological take time get use dream especially dark one one friend family member pass force spectate silent observer final moment teen feel like understand stupid sound clairvoyance run family believe type thing cousin experience talk share different perspective event yet come understand unfold front thousand dream every one far play synapse one show past age birthday now little day away live suicidal ideation nearly two decade now ever meet wife come decision go live past age fact go end life birthday can say certain choose partially angst fill young adult think go die young join group other die famously young except far famous also happen favorite numb tell always just draw birthday roll around newlywed month say end life day last thing mind lie plan concoct still toil brain day plan change begin stand mind dream never show past certain age limit always twenty nine none proud father watch child none golden year enjoy life wife age much good year just stop fixate negative human exercise willpower determination train focus positive life dwell negative far master don see old story end life destine dash finally go break next two month gumption take piece game board something positive family clairvoyant trait take far life gift give show part event future violently shape people become glimpse show matter low dark thing go get go make maybe clairvoyant odd just family disposition schizophrenia another wonderful future look forward thank inherit genetic already deal auditory hallucination since childhood though one may argue spawn abuse genetic go end go see side don go maybe allow see story end experience first hand spoil moment don make conscious effort avoid suicidal ideation one point accept part part feel know suicide option can say week without less tiny think come mind think throw void stare thought just happen like thought sometimes discard immediately other turn inspect situation play react funeral look like many domino fall cast may topple like many wobble age likely never settle back original position hard hurdle regard bring commit end empathy life know less think know life end impact self inflict always easy hurt intentionally hurt other care though always feel impossible know cause harm without intention feel immense guilt fact never able follow plan line think happen point plan within next two month go finally disregard other feeling selfishly satisfy even sure call desire believe story already write end perhaps end just chaos existence luck maybe just maybe end just new begin","suicide"
"always trust gut always seem right trust gut like one good piece life advice gut beg commit suicide","suicide"
"heart like heart burn furnace cripple anxiety","non-suicide"
"new discord house discord make friend plenty channel whether just talk send homework play music game know interest moment friend bot gather people can grow something nice","non-suicide"
"day random fact ask crush know real life crystal lake life size jason statue sit bottom lake implement may","non-suicide"
"friend suicidal sure sure right forum post loss friend high school show sign attempt suicide talk much ever since move away college social medium post good someone close concern good try ignore message get point really afraid go currently life father able get contact sure else friend high school suicidal lately ignore message refuse help people can help","suicide"
